longitude,latitude,light_intensity,year,normalized_light_intensity,country
120.9666690744,14.591666183400005,66.42019,2020,0.4006556812203833,Philippines
120.9708357411,14.591666183400005,57.849987,2020,0.3489590431776139,Philippines
120.9625024077,14.587499516700005,54.492504,2020,0.3287062459701555,Philippines
120.9666690744,14.587499516700005,84.061874,2020,0.5070727348436075,Philippines
120.9708357411,14.587499516700005,75.733406,2020,0.456834275422426,Philippines
120.9833357412,14.587499516700005,61.568447,2020,0.371389303078869,Philippines
121.0625024085,14.587499516700005,61.013103,2020,0.3680393920257442,Philippines
120.9708357411,14.58333285,73.667305,2020,0.4443712712722555,Philippines
120.9750024078,14.58333285,56.82986,2020,0.342805497424187,Philippines
120.9791690745,14.58333285,58.664543,2020,0.3538725565095112,Philippines
120.9833357412,14.58333285,71.541046,2020,0.4315453858284473,Philippines
