longitude,latitude,light_intensity,normalized_light_intensity,country,geometry,radiance_change
121.0166690748,14.516666182800002,75.47367,0.4271228915523593,Philippines,POINT (121.0166690748 14.516666182800002),1.6606199999999944
121.0208357415,14.516666182800002,66.18148,0.3755610125143204,Philippines,POINT (121.0208357415 14.516666182800002),0.6464499999999873
120.6000024048,14.520832849500003,57.52034,0.3275007971063789,Philippines,POINT (120.6000024048 14.520832849500003),-5.726532000000006
120.6041690715,14.520832849500003,61.842293,0.3514830895255061,Philippines,POINT (120.6041690715 14.520832849500003),-14.258097000000006
120.9833357412,14.520832849500003,92.02978,0.5189918848855203,Philippines,POINT (120.9833357412 14.520832849500003),21.481845000000007
120.9875024079,14.520832849500003,106.866295,0.6013189349970707,Philippines,POINT (120.9875024079 14.520832849500003),33.995915
120.9916690746,14.520832849500003,116.145096,0.6528065191704501,Philippines,POINT (120.9916690746 14.520832849500003),15.001915999999994
120.9958357413,14.520832849500003,80.001884,0.4522497155331813,Philippines,POINT (120.9958357413 14.520832849500003),-6.365975999999989
121.000002408,14.520832849500003,58.34743,0.332090276500749,Philippines,POINT (121.000002408 14.520832849500003),-16.498229999999992
121.0041690747,14.520832849500003,60.078884,0.3416980246965919,Philippines,POINT (121.0041690747 14.520832849500003),-7.286441999999994
121.0083357414,14.520832849500003,53.29873,0.3040753027755727,Philippines,POINT (121.0083357414 14.520832849500003),-0.7980560000000025
121.0125024081,14.520832849500003,72.03906,0.4080644192909399,Philippines,POINT (121.0125024081 14.520832849500003),-1.7372799999999984
121.0166690748,14.520832849500003,77.671265,0.4393172319139531,Philippines,POINT (121.0166690748 14.520832849500003),4.7947850000000045
120.6041690715,14.5249995162,58.712822,0.3341178177052947,Philippines,POINT (120.6041690715 14.5249995162),-26.402288
120.9833357412,14.5249995162,68.34055,0.387541579654538,Philippines,POINT (120.9833357412 14.5249995162),-1.0694800000000129
120.9875024079,14.5249995162,111.61604,0.6276750229754192,Philippines,POINT (120.9875024079 14.5249995162),20.650784
120.9916690746,14.5249995162,140.16109,0.7860700208429585,Philippines,POINT (120.9916690746 14.5249995162),23.13955
120.9958357413,14.5249995162,90.03096,0.507900536660956,Philippines,POINT (120.9958357413 14.5249995162),3.2475099999999912
121.000002408,14.5249995162,56.36741,0.3211032484984269,Philippines,POINT (121.000002408 14.5249995162),-9.890499999999996
121.0041690747,14.5249995162,59.85285,0.3404437737862592,Philippines,POINT (121.0041690747 14.5249995162),-3.5665070000000014
121.0083357414,14.5249995162,60.100044,0.341815440436094,Philippines,POINT (121.0083357414 14.5249995162),-0.8667160000000038
121.0125024081,14.5249995162,60.109837,0.3418697812837757,Philippines,POINT (121.0125024081 14.5249995162),0.93459
120.9875024079,14.529166182900005,71.319244,0.4040701977434204,Philippines,POINT (120.9875024079 14.529166182900005),-14.817335999999997
120.9916690746,14.529166182900005,105.696785,0.594829384831418,Philippines,POINT (120.9916690746 14.529166182900005),20.709145000000007
120.9958357413,14.529166182900005,60.12949,0.3419788347586546,Philippines,POINT (120.9958357413 14.529166182900005),-2.906000000000006
120.9833357412,14.533332849600002,55.81308,0.3180273001582449,Philippines,POINT (120.9833357412 14.533332849600002),-1.0867840000000015
120.9875024079,14.533332849600002,111.34467,0.6261692049589395,Philippines,POINT (120.9875024079 14.533332849600002),-16.17764600000001
120.9916690746,14.533332849600002,141.40697,0.7929833441667296,Philippines,POINT (120.9916690746 14.533332849600002),10.185930000000013
120.9958357413,14.533332849600002,83.372604,0.4709536655074174,Philippines,POINT (120.9958357413 14.533332849600002),18.435858999999994
120.9833357412,14.537499516300002,63.34216,0.3598057735028189,Philippines,POINT (120.9833357412 14.537499516300002),0.5805700000000016
120.9875024079,14.537499516300002,103.17467,0.580834299867591,Philippines,POINT (120.9875024079 14.537499516300002),-20.928299999999993
120.9916690746,14.537499516300002,132.52429,0.7436938148207296,Philippines,POINT (120.9916690746 14.537499516300002),21.236190000000008
120.9958357413,14.537499516300002,71.8226,0.4068632940086787,Philippines,POINT (120.9958357413 14.537499516300002),9.804185999999994
121.0625024085,14.537499516300002,52.992313,0.3023750107788315,Philippines,POINT (121.0625024085 14.537499516300002),-4.245460999999999
120.9875024079,14.541666183000004,65.73986,0.3731104861022713,Philippines,POINT (120.9875024079 14.541666183000004),4.77579999999999
120.9916690746,14.541666183000004,69.31604,0.3929545229308611,Philippines,POINT (120.9916690746 14.541666183000004),16.23876
121.0583357418,14.541666183000004,55.80404,0.3179771376684008,Philippines,POINT (121.0583357418 14.541666183000004),-4.043146999999998
