country,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,geometry,normalized_light_intensity
The Philippines,7316,25089,71,4,"POLYGON ((120.953979492188 14.6048471550539, 120.95947265625 14.6048471550539, 120.95947265625 14.5995314227299, 120.953979492188 14.5995314227299, 120.953979492188 14.6048471550539))",0.5724341081847316
The Philippines,23993,35420,4,3,"POLYGON ((120.948486328125 14.5995314227299, 120.953979492188 14.5995314227299, 120.953979492188 14.5942155619439, 120.948486328125 14.5942155619439, 120.948486328125 14.5995314227299))",0.682740152642681
The Philippines,41435,48932,10,707,"POLYGON ((120.95947265625 14.6048471550539, 120.964965820312 14.6048471550539, 120.964965820312 14.5995314227299, 120.95947265625 14.5995314227299, 120.95947265625 14.6048471550539))",0.342331847731984
The Philippines,41435,48932,10,707,"POLYGON ((120.95947265625 14.6048471550539, 120.964965820312 14.6048471550539, 120.964965820312 14.5995314227299, 120.95947265625 14.5995314227299, 120.95947265625 14.6048471550539))",0.4599339320056329
The Philippines,43698,45612,12,945,"POLYGON ((120.964965820312 14.6048471550539, 120.970458984375 14.6048471550539, 120.970458984375 14.5995314227299, 120.964965820312 14.5995314227299, 120.964965820312 14.6048471550539))",0.3002494529569622
The Philippines,43698,45612,12,945,"POLYGON ((120.964965820312 14.6048471550539, 120.970458984375 14.6048471550539, 120.970458984375 14.5995314227299, 120.964965820312 14.5995314227299, 120.964965820312 14.6048471550539))",0.3548016545187247
The Philippines,8710,9294,13,33,"POLYGON ((120.964965820312 14.5942155619439, 120.970458984375 14.5942155619439, 120.970458984375 14.5888995727386, 120.964965820312 14.5888995727386, 120.964965820312 14.5942155619439))",0.4676961888826383
The Philippines,1521,6798,5,3,"POLYGON ((120.95947265625 14.5888995727386, 120.964965820312 14.5888995727386, 120.964965820312 14.5835834551565, 120.95947265625 14.5835834551565, 120.95947265625 14.5888995727386))",0.3442872193189509
The Philippines,14373,11075,39,25,"POLYGON ((120.964965820312 14.5888995727386, 120.970458984375 14.5888995727386, 120.970458984375 14.5835834551565, 120.964965820312 14.5835834551565, 120.964965820312 14.5888995727386))",0.6223656230686193
The Philippines,40125,36572,14,235,"POLYGON ((120.970458984375 14.5942155619439, 120.975952148438 14.5942155619439, 120.975952148438 14.5888995727386, 120.970458984375 14.5888995727386, 120.970458984375 14.5942155619439))",0.3626675601952652
The Philippines,45469,53822,11,118,"POLYGON ((120.975952148438 14.5942155619439, 120.9814453125 14.5942155619439, 120.9814453125 14.5888995727386, 120.975952148438 14.5888995727386, 120.975952148438 14.5942155619439))",0.3583230668547242
The Philippines,28624,32796,21,100,"POLYGON ((120.970458984375 14.5888995727386, 120.975952148438 14.5888995727386, 120.975952148438 14.5835834551565, 120.970458984375 14.5835834551565, 120.970458984375 14.5888995727386))",0.3479784794040252
The Philippines,28624,32796,21,100,"POLYGON ((120.970458984375 14.5888995727386, 120.975952148438 14.5888995727386, 120.975952148438 14.5835834551565, 120.970458984375 14.5835834551565, 120.970458984375 14.5888995727386))",0.588715048980009
The Philippines,38124,52464,12,33,"POLYGON ((120.975952148438 14.5888995727386, 120.9814453125 14.5888995727386, 120.9814453125 14.5835834551565, 120.975952148438 14.5835834551565, 120.975952148438 14.5888995727386))",0.3391689251809817
The Philippines,28832,50991,13,56,"POLYGON ((120.970458984375 14.5835834551565, 120.975952148438 14.5835834551565, 120.975952148438 14.5782672092405, 120.970458984375 14.5782672092405, 120.970458984375 14.5835834551565))",0.3657589623556039
The Philippines,28832,50991,13,56,"POLYGON ((120.970458984375 14.5835834551565, 120.975952148438 14.5835834551565, 120.975952148438 14.5782672092405, 120.970458984375 14.5782672092405, 120.970458984375 14.5835834551565))",0.5789532619879195
The Philippines,35074,33622,15,420,"POLYGON ((120.975952148438 14.5835834551565, 120.9814453125 14.5835834551565, 120.9814453125 14.5782672092405, 120.975952148438 14.5782672092405, 120.975952148438 14.5835834551565))",0.3225816547118281
