country,normalized_light_intensity,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,year,geometry
Taiwan,0.3223845980700839,78337.75,38932.5,10.5,228.0,2020,"POLYGON ((120.184936523438 22.9887381609607, 120.1904296875 22.9887381609607, 120.1904296875 22.9836811603309, 120.184936523438 22.9836811603309, 120.184936523438 22.9887381609607))"
Taiwan,0.3468724812843471,80714.5,44002.5,14.75,62.0,2020,"POLYGON ((120.184936523438 22.9937949722422, 120.1904296875 22.9937949722422, 120.1904296875 22.9887381609607, 120.184936523438 22.9887381609607, 120.184936523438 22.9937949722422))"
Taiwan,0.400081863445324,59516.75,33900.5,8.75,165.0,2020,"POLYGON ((120.184936523438 22.9988515941429, 120.1904296875 22.9988515941429, 120.1904296875 22.9937949722422, 120.184936523438 22.9937949722422, 120.184936523438 22.9988515941429))"
Taiwan,0.3925986846524928,76879.0,34547.0,8.75,190.75,2020,"POLYGON ((120.184936523438 23.0039080266307, 120.1904296875 23.0039080266307, 120.1904296875 22.9988515941429, 120.184936523438 22.9988515941429, 120.184936523438 23.0039080266307))"
Taiwan,0.361800191230732,60396.25,27778.5,10.0,200.25,2020,"POLYGON ((120.184936523438 23.0089642696731, 120.1904296875 23.0089642696731, 120.1904296875 23.0039080266307, 120.184936523438 23.0039080266307, 120.184936523438 23.0089642696731))"
Taiwan,0.3359983080395467,85305.0,38488.75,8.5,201.0,2020,"POLYGON ((120.1904296875 22.9836811603309, 120.195922851562 22.9836811603309, 120.195922851562 22.9786239703849, 120.1904296875 22.9786239703849, 120.1904296875 22.9836811603309))"
Taiwan,0.3206243324588481,85305.0,38488.75,8.5,201.0,2020,"POLYGON ((120.1904296875 22.9836811603309, 120.195922851562 22.9836811603309, 120.195922851562 22.9786239703849, 120.1904296875 22.9786239703849, 120.1904296875 22.9836811603309))"
Taiwan,0.349818593197478,85305.0,38488.75,8.5,201.0,2020,"POLYGON ((120.1904296875 22.9836811603309, 120.195922851562 22.9836811603309, 120.195922851562 22.9786239703849, 120.1904296875 22.9786239703849, 120.1904296875 22.9836811603309))"
Taiwan,0.3351347427418706,85305.0,38488.75,8.5,201.0,2020,"POLYGON ((120.1904296875 22.9836811603309, 120.195922851562 22.9836811603309, 120.195922851562 22.9786239703849, 120.1904296875 22.9786239703849, 120.1904296875 22.9836811603309))"
Taiwan,0.4248991407262499,63283.75,36515.75,10.75,114.25,2020,"POLYGON ((120.1904296875 22.9887381609607, 120.195922851562 22.9887381609607, 120.195922851562 22.9836811603309, 120.1904296875 22.9836811603309, 120.1904296875 22.9887381609607))"
Taiwan,0.3738543978247307,63283.75,36515.75,10.75,114.25,2020,"POLYGON ((120.1904296875 22.9887381609607, 120.195922851562 22.9887381609607, 120.195922851562 22.9836811603309, 120.1904296875 22.9836811603309, 120.1904296875 22.9887381609607))"
Taiwan,0.4185712418253129,47691.5,23651.25,12.25,103.5,2020,"POLYGON ((120.1904296875 22.9937949722422, 120.195922851562 22.9937949722422, 120.195922851562 22.9887381609607, 120.1904296875 22.9887381609607, 120.1904296875 22.9937949722422))"
Taiwan,0.4951926920712589,47691.5,23651.25,12.25,103.5,2020,"POLYGON ((120.1904296875 22.9937949722422, 120.195922851562 22.9937949722422, 120.195922851562 22.9887381609607, 120.1904296875 22.9887381609607, 120.1904296875 22.9937949722422))"
Taiwan,0.4072023550875546,44391.0,20266.25,10.5,119.75,2020,"POLYGON ((120.1904296875 22.9988515941429, 120.195922851562 22.9988515941429, 120.195922851562 22.9937949722422, 120.1904296875 22.9937949722422, 120.1904296875 22.9988515941429))"
Taiwan,0.4600602926882934,44391.0,20266.25,10.5,119.75,2020,"POLYGON ((120.1904296875 22.9988515941429, 120.195922851562 22.9988515941429, 120.195922851562 22.9937949722422, 120.1904296875 22.9937949722422, 120.1904296875 22.9988515941429))"
Taiwan,0.364085519401352,45183.0,27204.75,35.0,110.0,2020,"POLYGON ((120.1904296875 23.0039080266307, 120.195922851562 23.0039080266307, 120.195922851562 22.9988515941429, 120.1904296875 22.9988515941429, 120.1904296875 23.0039080266307))"
Taiwan,0.3926677603922237,45183.0,27204.75,35.0,110.0,2020,"POLYGON ((120.1904296875 23.0039080266307, 120.195922851562 23.0039080266307, 120.195922851562 22.9988515941429, 120.1904296875 22.9988515941429, 120.1904296875 23.0039080266307))"
Taiwan,0.3197937045919876,76221.25,30518.75,9.0,142.75,2020,"POLYGON ((120.1904296875 23.0089642696731, 120.195922851562 23.0089642696731, 120.195922851562 23.0039080266307, 120.1904296875 23.0039080266307, 120.1904296875 23.0089642696731))"
Taiwan,0.3303515836601258,76221.25,30518.75,9.0,142.75,2020,"POLYGON ((120.1904296875 23.0089642696731, 120.195922851562 23.0089642696731, 120.195922851562 23.0039080266307, 120.1904296875 23.0039080266307, 120.1904296875 23.0089642696731))"
Taiwan,0.3093172503303227,75330.25,30815.75,13.5,112.25,2020,"POLYGON ((120.1904296875 23.0291873467446, 120.195922851562 23.0291873467446, 120.195922851562 23.024131861806, 120.1904296875 23.024131861806, 120.1904296875 23.0291873467446))"
Taiwan,0.3209203544075459,57909.5,25122.5,16.5,61.25,2020,"POLYGON ((120.195922851562 22.9836811603309, 120.201416015625 22.9836811603309, 120.201416015625 22.9786239703849, 120.195922851562 22.9786239703849, 120.195922851562 22.9836811603309))"
Taiwan,0.317686637669609,57909.5,25122.5,16.5,61.25,2020,"POLYGON ((120.195922851562 22.9836811603309, 120.201416015625 22.9836811603309, 120.201416015625 22.9786239703849, 120.195922851562 22.9786239703849, 120.195922851562 22.9836811603309))"
