longitude,latitude,light_intensity,year,normalized_light_intensity
120.5083357374,23.9208329247,83.094154,2020,0.3283632811703485
120.5125024041,23.9208329247,87.51717,2020,0.345841719502231
120.5083357374,23.916666258,90.302925,2020,0.3568501913176695
120.5125024041,23.916666258,98.75406,2020,0.3902465529704227
120.5166690708,23.916666258,88.776085,2020,0.3508165756168329
120.5208357375,23.916666258,83.48312,2020,0.3299003586406084
120.5083357374,23.9124995913,92.58978,2020,0.3658871593258018
120.5125024041,23.9124995913,108.12863,2020,0.4272920539663305
120.5166690708,23.9124995913,101.5087,2020,0.4011320675981195
120.5208357375,23.9124995913,95.43274,2020,0.3771216882174017
120.5250024042,23.9124995913,87.29735,2020,0.3449730565098036
120.5125024041,23.9083329246,89.31117,2020,0.3529310717377638
120.5166690708,23.9083329246,88.74579,2020,0.3506968588242044
120.4083357366,23.9041662579,77.60828,2020,0.3066847454369308
120.4125024033,23.9041662579,81.98936,2020,0.3239974652206812
120.4083357366,23.8999995912,78.03517,2020,0.3083716872294764
120.4125024033,23.8999995912,78.988914,2020,0.3121405986890783
120.1916690682,23.0249995842,78.27445,2020,0.3093172503303227
120.2000024016,23.0124995841,76.581535,2020,0.3026273558265228
120.2041690683,23.0124995841,76.55958,2020,0.3025405962232167
120.1833357348,23.0041662507,84.54692,2020,0.3341041785448223
120.1875024015,23.0041662507,91.55555,2020,0.361800191230732
120.1916690682,23.0041662507,80.925575,2020,0.3197937045919876
120.1958357349,23.0041662507,83.597305,2020,0.3303515836601258
120.2000024016,23.0041662507,84.518776,2020,0.333992961861814
120.2041690683,23.0041662507,80.25739,2020,0.3171532370203602
120.208335735,23.0041662507,79.037994,2020,0.3123345481917093
120.1791690681,22.999999584,76.72214,2020,0.303182984795908
120.1833357348,22.999999584,96.191734,2020,0.3801210058376112
120.1875024015,22.999999584,99.34928,2020,0.3925986846524928
120.1916690682,22.999999584,92.133865,2020,0.364085519401352
120.1958357349,22.999999584,99.36676,2020,0.3926677603922237
120.2000024016,22.999999584,106.240005,2020,0.4198287719898349
120.2041690683,22.999999584,98.176636,2020,0.3879647457657124
120.208335735,22.999999584,91.91967,2020,0.363239084729061
120.2125024017,22.999999584,81.84573,2020,0.3234298823546892
120.1791690681,22.9958329173,81.550835,2020,0.32226454538284
120.1833357348,22.9958329173,92.06187,2020,0.3638010166621116
120.1875024015,22.9958329173,101.24294,2020,0.400081863445324
120.1916690682,22.9958329173,103.04482,2020,0.4072023550875546
120.1958357349,22.9958329173,116.420815,2020,0.4600602926882934
120.2000024016,22.9958329173,117.0499,2020,0.4625462487368386
120.2041690683,22.9958329173,106.686386,2020,0.4215927363935414
120.208335735,22.9958329173,98.327126,2020,0.3885594373030175
120.2125024017,22.9958329173,87.54268,2020,0.3459425274038634
120.2166690684,22.9958329173,76.23566,2020,0.3012605611194632
120.2333357352,22.9958329173,76.86219,2020,0.3037364205710398
120.1791690681,22.9916662506,75.94911,2020,0.3001282010954432
120.1833357348,22.9916662506,77.54235,2020,0.3064242097664243
120.1875024015,22.9916662506,87.77801,2020,0.3468724812843471
120.1916690682,22.9916662506,105.92178,2020,0.4185712418253129
120.1958357349,22.9916662506,125.311264,2020,0.4951926920712589
120.2000024016,22.9916662506,119.23233,2020,0.4711705603307036
120.2041690683,22.9916662506,98.10897,2020,0.3876973499416491
120.208335735,22.9916662506,91.51091,2020,0.3616237872821288
120.2125024017,22.9916662506,87.41272,2020,0.3454289642954298
120.2333357352,22.9916662506,76.587845,2020,0.3026522910620893
120.1875024015,22.9874995839,81.581215,2020,0.3223845980700839
120.1916690682,22.9874995839,94.605934,2020,0.3738543978247307
120.1958357349,22.9874995839,107.52309,2020,0.4248991407262499
120.2000024016,22.9874995839,101.63589,2020,0.4016346844937926
120.2041690683,22.9874995839,77.58862,2020,0.3066070549882405
120.208335735,22.9874995839,79.65081,2020,0.3147562140108678
120.2125024017,22.9874995839,83.589165,2020,0.3303194168110749
120.2166690684,22.9874995839,76.508736,2020,0.302339675919391
120.1875024015,22.9833329172,81.38965,2020,0.3216275903995154
120.1916690682,22.9833329172,84.80771,2020,0.3351347427418706
120.1958357349,22.9833329172,88.52354,2020,0.349818593197478
120.2000024016,22.9833329172,80.39237,2020,0.317686637669609
120.2125024017,22.9833329172,80.207924,2020,0.3169577621610053
120.2166690684,22.9833329172,78.79792,2020,0.3113858474399851
120.2208357351,22.9833329172,76.13089,2020,0.3008465413682275
120.2250024018,22.9833329172,76.98609,2020,0.3042260363692463
120.2291690685,22.9833329172,76.26469,2020,0.3013752790098743
120.1875024015,22.9791662505,76.892136,2020,0.3038547582198944
120.1916690682,22.9791662505,81.13577,2020,0.3206243324588481
120.1958357349,22.9791662505,85.02624,2020,0.3359983080395467
120.2000024016,22.9791662505,81.21068,2020,0.3209203544075459
120.2250024018,22.9791662505,81.09962,2020,0.3204814784547709
120.2291690685,22.9791662505,81.437965,2020,0.3218185168506078
120.2250024018,22.9749995838,77.7048,2020,0.3070661636519664
120.1875024015,22.9624995837,77.7488,2020,0.3072400385117007
120.3375024027,22.7041662483,82.321045,2020,0.3253081852854764
120.333335736,22.6999995816,97.01586,2020,0.383377705670644
120.3375024027,22.6999995816,131.1499,2020,0.5182652378789859
120.3416690694,22.6999995816,90.81672,2020,0.3588805557166971
120.3375024027,22.6958329149,102.74331,2020,0.4060108776112249
120.3000024024,22.6374995811,81.33296,2020,0.3214035684495531
120.3041690691,22.6374995811,84.53976,2020,0.3340758843631019
120.2958357357,22.6333329144,89.11651,2020,0.3521618335514936
120.3000024024,22.6333329144,100.687996,2020,0.3978888904871325
120.3041690691,22.6333329144,98.14555,2020,0.3878419031773101
120.291669069,22.6291662477,80.35346,2020,0.3175328769697847
120.2958357357,22.6291662477,100.60245,2020,0.3975508382427953
120.3000024024,22.6291662477,99.863335,2020,0.3946300764938735
120.3041690691,22.6291662477,90.53647,2020,0.35777309141123
120.3083357358,22.6291662477,75.96518,2020,0.3001917049362598
120.2958357357,22.624999581,88.1987,2020,0.3485349225284755
120.3000024024,22.624999581,89.87422,2020,0.3551560771871599
120.3041690691,22.624999581,83.519005,2020,0.3300421654438258
120.3000024024,22.6208329143,88.072136,2020,0.3480347793978524
120.3041690691,22.6208329143,82.67846,2020,0.3267205826262027
120.3041690691,22.6166662476,91.165985,2020,0.360260746691359
120.3041690691,22.6124995809,92.119934,2020,0.3640304682497393
120.3083357358,22.6124995809,82.933426,2020,0.3277281321145443
120.3041690691,22.5708329139,83.95886,2020,0.3317803410444725
120.3375024027,22.5708329139,77.78495,2020,0.3073828925157779
120.3416690694,22.5708329139,95.64747,2020,0.3779702370499189
120.3458357361,22.5708329139,85.73268,2020,0.338789947946609
120.3041690691,22.5666662472,91.07763,2020,0.3599115941179083
120.3083357358,22.5666662472,91.61059,2020,0.3620176928734543
120.3416690694,22.5666662472,81.155396,2020,0.3207018885496924
120.3458357361,22.5666662472,79.14971,2020,0.3127760164605749
120.3083357358,22.5624995805,87.407364,2020,0.3454077989829585
120.3125024025,22.5624995805,83.60056,2020,0.3303644464480448
120.3125024025,22.5583329138,120.031784,2020,0.4743297637878417
120.3166690692,22.5583329138,136.31555,2020,0.5386783439968676
120.3166690692,22.5541662471,95.63694,2020,0.3779286256346234
120.3250024026,22.5458329137,102.396385,2020,0.4046399336177398
120.3291690693,22.5458329137,86.680786,2020,0.3425365797139568
120.3541690695,22.5458329137,78.41101,2020,0.3098568946677164
120.3250024026,22.541666247,105.127495,2020,0.4154324647124923
120.3291690693,22.541666247,105.60461,2020,0.4173178807057232
120.3458357361,22.541666247,76.33833,2020,0.3016662822978479
120.3500024028,22.541666247,88.79805,2020,0.3509033747371525
120.3541690695,22.541666247,92.57395,2020,0.365824603893311
120.3583357362,22.541666247,82.302605,2020,0.3252353159124423
120.3291690693,22.5374995803,96.1077,2020,0.3797889285657267
120.333335736,22.5374995803,82.25648,2020,0.325053043687323
120.3458357361,22.5374995803,79.969345,2020,0.3160149692028106
120.3500024028,22.5374995803,77.78525,2020,0.3073840780261852
120.3541690695,22.5374995803,82.98601,2020,0.3279359283787322
120.3583357362,22.5374995803,91.37897,2020,0.3611023998050072
120.3625024029,22.5374995803,76.96516,2020,0.3041433272598318
120.3416690694,22.5333329136,79.745186,2020,0.3151291597781925
120.3458357361,22.5333329136,81.96719,2020,0.3239098560015832
120.3583357362,22.5333329136,78.2074,2020,0.3090522887542957
120.3625024029,22.5333329136,81.77213,2020,0.3231390371347699
120.3583357362,22.5291662469,82.571175,2020,0.3262966243460526
120.3625024029,22.5291662469,76.18376,2020,0.3010554678190039
120.4083357366,22.49999958,76.22628,2020,0.3012234941607289
120.4125024033,22.49999958,81.68205,2020,0.3227830678764774
120.4083357366,22.4958329133,82.920166,2020,0.3276757325545425
120.4125024033,22.4958329133,98.05473,2020,0.387483009660013
120.4083357366,22.4916662466,84.38719,2020,0.333472973286973
120.4125024033,22.4916662466,86.43873,2020,0.3415800466901419
121.750002414,25.1499996012,83.59785,2021,0.3245135073875497
121.2416690766,25.0999996008,84.035095,2021,0.3262108226718264
121.2375024099,25.0958329341,99.60903,2021,0.3866663519788088
121.2416690766,25.0958329341,115.25821,2021,0.4474139703630029
121.2458357433,25.0958329341,82.59648,2021,0.3206263489152604
121.2416690766,25.0916662674,82.70239,2021,0.3210374746268357
121.2458357433,25.0916662674,86.20393,2021,0.3346298938895058
121.25000241,25.0916662674,83.00973,2021,0.3222305194403146
