country,normalized_light_intensity,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,geometry
The Philippines,0.3326214606451407,55978.25,45469.25,15.25,2498.75,"POLYGON ((121.058349609375 14.5888995727386, 121.063842773438 14.5888995727386, 121.063842773438 14.5835834551565, 121.058349609375 14.5835834551565, 121.058349609375 14.5888995727386))"
The Philippines,0.344376368717384,67211.75,67138.0,10.75,1842.75,"POLYGON ((121.041870117188 14.5676343325769, 121.04736328125 14.5676343325769, 121.04736328125 14.5623177019148, 121.041870117188 14.5623177019148, 121.041870117188 14.5676343325769))"
The Philippines,0.3731820675313629,53271.0,45004.5,10.25,3219.0,"POLYGON ((121.04736328125 14.5676343325769, 121.052856445312 14.5676343325769, 121.052856445312 14.5623177019148, 121.04736328125 14.5623177019148, 121.04736328125 14.5676343325769))"
The Philippines,0.3286533912895056,58038.75,45460.0,13.0,1270.5,"POLYGON ((121.052856445312 14.5676343325769, 121.058349609375 14.5676343325769, 121.058349609375 14.5623177019148, 121.052856445312 14.5623177019148, 121.052856445312 14.5676343325769))"
The Philippines,0.307305528516765,53950.5,47144.0,13.25,2187.75,"POLYGON ((121.058349609375 14.5835834551565, 121.063842773438 14.5835834551565, 121.063842773438 14.5782672092405, 121.058349609375 14.5782672092405, 121.058349609375 14.5835834551565))"
The Philippines,0.3265132508323144,63455.0,53614.25,13.0,1558.75,"POLYGON ((121.058349609375 14.5782672092405, 121.063842773438 14.5782672092405, 121.063842773438 14.572950835033, 121.058349609375 14.572950835033, 121.058349609375 14.5782672092405))"
The Philippines,0.5287916599755602,57170.5,51661.0,12.25,1612.0,"POLYGON ((121.052856445312 14.5623177019148, 121.058349609375 14.5623177019148, 121.058349609375 14.5570009430895, 121.052856445312 14.5570009430895, 121.052856445312 14.5623177019148))"
The Philippines,0.5182450519753312,56410.5,34719.75,14.0,910.0,"POLYGON ((121.052856445312 14.5570009430895, 121.058349609375 14.5570009430895, 121.058349609375 14.5516840561434, 121.052856445312 14.5516840561434, 121.052856445312 14.5570009430895))"
The Philippines,0.480002867696322,56777.25,33013.5,16.25,1591.75,"POLYGON ((121.052856445312 14.5516840561434, 121.058349609375 14.5516840561434, 121.058349609375 14.5463670411195, 121.052856445312 14.5463670411195, 121.052856445312 14.5516840561434))"
The Philippines,0.3090435977514331,55159.5,52742.25,10.5,2317.0,"POLYGON ((121.058349609375 14.5463670411195, 121.063842773438 14.5463670411195, 121.063842773438 14.5410498980604, 121.058349609375 14.5410498980604, 121.058349609375 14.5463670411195))"
The Philippines,0.3023750107788315,45641.0,37819.0,13.5,3506.5,"POLYGON ((121.058349609375 14.5410498980604, 121.063842773438 14.5410498980604, 121.063842773438 14.5357326270088, 121.058349609375 14.5357326270088, 121.058349609375 14.5410498980604))"
The Philippines,0.3179771376684008,48135.25,35641.0,13.0,3344.5,"POLYGON ((121.052856445312 14.5463670411195, 121.058349609375 14.5463670411195, 121.058349609375 14.5410498980604, 121.052856445312 14.5410498980604, 121.052856445312 14.5463670411195))"
The Philippines,0.3888268824778317,51665.25,34873.25,11.75,2881.0,"POLYGON ((121.041870117188 14.5570009430895, 121.04736328125 14.5570009430895, 121.04736328125 14.5516840561434, 121.041870117188 14.5516840561434, 121.041870117188 14.5570009430895))"
The Philippines,0.3764545596094074,63446.0,41468.25,13.0,2227.5,"POLYGON ((121.041870117188 14.5516840561434, 121.04736328125 14.5516840561434, 121.04736328125 14.5463670411195, 121.041870117188 14.5463670411195, 121.041870117188 14.5516840561434))"
The Philippines,0.5813488538148518,64782.25,52311.5,14.5,2646.25,"POLYGON ((121.04736328125 14.5516840561434, 121.052856445312 14.5516840561434, 121.052856445312 14.5463670411195, 121.04736328125 14.5463670411195, 121.04736328125 14.5516840561434))"
The Philippines,0.6041631315243837,59342.5,55453.5,12.25,944.0,"POLYGON ((121.04736328125 14.5570009430895, 121.052856445312 14.5570009430895, 121.052856445312 14.5516840561434, 121.04736328125 14.5516840561434, 121.04736328125 14.5570009430895))"
The Philippines,0.5082820823248583,63166.75,58484.25,10.0,2825.0,"POLYGON ((121.04736328125 14.5623177019148, 121.052856445312 14.5623177019148, 121.052856445312 14.5570009430895, 121.04736328125 14.5570009430895, 121.04736328125 14.5623177019148))"
The Philippines,0.3668698284498337,60820.0,56568.25,9.75,2905.25,"POLYGON ((121.041870117188 14.5623177019148, 121.04736328125 14.5623177019148, 121.04736328125 14.5570009430895, 121.041870117188 14.5570009430895, 121.041870117188 14.5623177019148))"
The Philippines,0.3123312495553905,68827.5,57141.75,10.75,1284.5,"POLYGON ((121.036376953125 14.5623177019148, 121.041870117188 14.5623177019148, 121.041870117188 14.5570009430895, 121.036376953125 14.5570009430895, 121.036376953125 14.5623177019148))"
The Philippines,0.3012257182197598,75324.5,73370.75,8.25,2321.25,"POLYGON ((121.019897460938 14.572950835033, 121.025390625 14.572950835033, 121.025390625 14.5676343325769, 121.019897460938 14.5676343325769, 121.019897460938 14.572950835033))"
The Philippines,0.310896668933227,70968.25,54735.0,10.5,2213.5,"POLYGON ((121.036376953125 14.5676343325769, 121.041870117188 14.5676343325769, 121.041870117188 14.5623177019148, 121.036376953125 14.5623177019148, 121.036376953125 14.5676343325769))"
The Philippines,0.3072606208806691,55838.0,39690.75,13.75,1607.0,"POLYGON ((121.052856445312 14.6261087988768, 121.058349609375 14.6261087988768, 121.058349609375 14.6207935808273, 121.052856445312 14.6207935808273, 121.052856445312 14.6261087988768))"
The Philippines,0.3329611173006543,74233.25,70116.5,8.5,1588.0,"POLYGON ((121.00341796875 14.5676343325769, 121.008911132812 14.5676343325769, 121.008911132812 14.5623177019148, 121.00341796875 14.5623177019148, 121.00341796875 14.5676343325769))"
The Philippines,0.3449595243086649,54610.0,41645.25,13.75,1746.75,"POLYGON ((121.008911132812 14.5676343325769, 121.014404296875 14.5676343325769, 121.014404296875 14.5623177019148, 121.008911132812 14.5623177019148, 121.008911132812 14.5676343325769))"
The Philippines,0.3160192191143058,54690.25,40774.5,13.5,2208.25,"POLYGON ((121.008911132812 14.5623177019148, 121.014404296875 14.5623177019148, 121.014404296875 14.5570009430895, 121.008911132812 14.5570009430895, 121.008911132812 14.5623177019148))"
The Philippines,0.3062565387415896,69031.5,70421.25,13.25,2867.0,"POLYGON ((121.008911132812 14.5570009430895, 121.014404296875 14.5570009430895, 121.014404296875 14.5516840561434, 121.008911132812 14.5516840561434, 121.008911132812 14.5570009430895))"
The Philippines,0.3121287129536972,66624.0,63476.0,13.25,1304.5,"POLYGON ((121.00341796875 14.5570009430895, 121.008911132812 14.5570009430895, 121.008911132812 14.5516840561434, 121.00341796875 14.5516840561434, 121.00341796875 14.5570009430895))"
The Philippines,0.3226493851710136,58540.25,44880.5,12.75,2373.75,"POLYGON ((121.00341796875 14.5623177019148, 121.008911132812 14.5623177019148, 121.008911132812 14.5570009430895, 121.00341796875 14.5570009430895, 121.00341796875 14.5623177019148))"
The Philippines,0.4068632940086787,43218.25,37838.5,14.0,650.0,"POLYGON ((120.992431640625 14.5410498980604, 120.997924804688 14.5410498980604, 120.997924804688 14.5357326270088, 120.992431640625 14.5357326270088, 120.992431640625 14.5410498980604))"
The Philippines,0.4709536655074174,52923.25,41862.25,13.0,748.25,"POLYGON ((120.992431640625 14.5357326270088, 120.997924804688 14.5357326270088, 120.997924804688 14.5304152280074, 120.992431640625 14.5304152280074, 120.992431640625 14.5357326270088))"
The Philippines,0.7929833441667296,31229.25,22051.75,17.5,113.5,"POLYGON ((120.986938476562 14.5357326270088, 120.992431640625 14.5357326270088, 120.992431640625 14.5304152280074, 120.986938476562 14.5304152280074, 120.986938476562 14.5357326270088))"
The Philippines,0.580834299867591,69009.25,39863.25,16.5,245.75,"POLYGON ((120.986938476562 14.5410498980604, 120.992431640625 14.5410498980604, 120.992431640625 14.5357326270088, 120.986938476562 14.5357326270088, 120.986938476562 14.5410498980604))"
